👤 自我介紹與身份
我叫... | My name is...
我不懂 | I don't understand
請再說一次 | Please repeat
請說慢一點 | Speak slowly
你能幫我嗎 | Can you help me?
請幫幫我 | Please help me
你是什麼意思 | What do you mean?
這個怎麼說 | How do you say this?

🕒 時間日期幾點了 | What time is it?
一點鐘 | It's one o'clock
兩點鐘 | It's two o'clock
三點半 | It's half past three
四點半 | It's four thirty
現在 | Right now
很快 | Soon
稍後 | Later
今天 | Today
明天 | Tomorrow
昨天 | Yesterday
今天早上 | This morning
今天下午 | This afternoon
今晚 | Tonight
本週 | This week
下週 | Next week
上週 | Last week
本月 | This month
下個月 | Next month
上個月 | Last month
今年 | This year
明年 | Next year
去年 | Last year
📅 星期與月份
星期一 | Monday
星期二 | Tuesday
星期三 | Wednesday
星期四 | Thursday
星期五 | Friday
星期六 | Saturday
星期日 | Sunday
一月 | January
二月 | February
三月 | March
四月 | April
五月 | May
六月 | June
七月 | July
八月 | August
九月 | September
十月 | October
十一月 | November
十二月 | December
今天幾月幾日 | What is today's date?

👤 自我介紹
你幾歲 | How old are you?
我二十歲 | I am twenty years old
你來自哪裡 | Where are you from?
我來自台灣 | I am from Taiwan
你住在哪裡 | Where do you live?
我住在台北 | I live in Taipei
你叫什麼名字 | What is your name?
我叫湯姆 | My name is Tom
很高興認識你 | Nice to meet you

😊 心情與狀態
我餓了 | I'm hungry
我渴了 | I'm thirsty
我累了 | I'm tired
我很忙 | I'm busy
我有空 | I'm free
我很開心 | I'm happy
我很難過 | I'm sad
我生病了 | I'm sick
我感覺很好 | I feel good
我感覺不好 | I feel bad

🚀 行動與鼓勵
我們走吧 | Let's go
等一下 | Wait a moment
快點 | Hurry up
加油 | Come on
小心 | Be careful
別擔心 | Don't worry
冷靜一點 | Calm down
做得好 | Good job
我喜歡 | I like it
我很喜歡 | I love it
我不喜歡 | I don't like it
太棒了 | That's great
太好了 | That's wonderful
真令人驚訝 | That's amazing
聽起來不錯 | Sounds good
聽起來很棒 | Sounds great
不可能 | No way
為什麼不呢 | Why not?
試試看吧 | Let's try
我做得到 | I can do it
我做不到 | I can't do it
我需要幫助 | I need help
我需要更多時間 | I need more time
我準備好了 | I am ready
開始吧 | Let's start
停止吧 | Let's stop
休息一下吧 | Let's take a break
我完成了 | I'm finished

💰 購物與餐飲
多少錢 | How much is it?
太貴了 | It's too expensive
很便宜 | It's cheap
我要買 | I'll take it
可以刷卡嗎 | Can I pay by card?
你有現金嗎 | Do you have cash?
不用找了 | Keep the change
我只是看看 | I am just looking
有這個尺寸嗎 | Do you have this size?
我可以試穿嗎 | Can I try it on?
我可以看菜單嗎 | May I see the menu?
我要點餐 | I'd like to order
我要一些水 | I'd like some water
我要一杯茶 | I'd like some tea
我要一杯咖啡 | I'd like some coffee
食物很好吃 | The food is delicious
請買單 | Check please
我吃飽了 | I'm full
乾杯 | Cheers
請慢用 | Enjoy your meal

🚇 問路與交通
洗手間在哪裡 | Where is the restroom?
車站在哪裡 | Where is the station?
我該怎麼去那裡 | How can I get there?
我需要計程車 | I need a taxi
我迷路了 | I'm lost
你可以在地圖上指給我看嗎 | Can you show me on the map?
有多遠 | How far is it?
左轉 | Turn left
右轉 | Turn right
直走 | Go straight

📱 聯絡與通訊
晚點打給我 | Call me later
傳訊息給我 | Send me a message
我漏接你的電話 | I missed your call
我的手機沒電了 | My phone is dead
網路很慢 | The internet is slow
你聽得到我嗎 | Can you hear me?
我聽得到你 | I can hear you
請再打一次 | Please call again
保持聯絡 | Stay in touch
再見 | See you again

🔢 數字
一 | One
二 | Two
三 | Three
四 | Four
五 | Five
十 | Ten
二十 | Twenty
五十 | Fifty
一百 | One hundred
一千 | One thousand目前沒有
